"","hour","starts","ends","high"
"1",1,11,14,1569
"2",2,3,15,1569
"3",3,9,19,1569
"4",4,2,16,1569
"5",5,1,8,1569
"6",6,31,97,1569
"7",7,114,677,1569
"8",8,378,1569,1569
"9",9,276,675,1569
"10",10,315,443,1569
"11",11,435,471,1569
"12",12,622,646,1569
"13",13,656,643,1569
"14",14,614,592,1569
"15",15,788,643,1569
"16",16,1366,702,1569
"17",17,1429,728,1569
"18",18,762,620,1569
"19",19,529,434,1569
"20",20,323,210,1569
"21",21,166,87,1569
"22",22,82,99,1569
"23",23,45,45,1569
"24",24,0,0,1569
