"","hour","starts","ends","high"
"1",1,57,27,636
"2",2,30,13,636
"3",3,8,4,636
"4",4,5,3,636
"5",5,14,14,636
"6",6,157,97,636
"7",7,127,167,636
"8",8,361,558,636
"9",9,371,556,636
"10",10,363,514,636
"11",11,381,406,636
"12",12,408,435,636
"13",13,348,411,636
"14",14,374,400,636
"15",15,462,522,636
"16",16,553,476,636
"17",17,636,502,636
"18",18,587,415,636
"19",19,483,362,636
"20",20,346,283,636
"21",21,267,151,636
"22",22,195,125,636
"23",23,156,62,636
"24",24,0,0,636
