"","hour","starts","ends","high"
"1",1,68,31,5038
"2",2,55,32,5038
"3",3,18,19,5038
"4",4,29,26,5038
"5",5,101,150,5038
"6",6,921,918,5038
"7",7,1831,2960,5038
"8",8,3962,3821,5038
"9",9,1343,1599,5038
"10",10,723,760,5038
"11",11,863,855,5038
"12",12,1105,1036,5038
"13",13,966,1067,5038
"14",14,948,975,5038
"15",15,1044,1715,5038
"16",16,2104,3373,5038
"17",17,5038,3864,5038
"18",18,2912,1364,5038
"19",19,1191,668,5038
"20",20,681,422,5038
"21",21,390,257,5038
"22",22,269,170,5038
"23",23,157,148,5038
"24",24,0,0,5038
