"","hour","starts","ends","high"
"1",1,64,27,1145
"2",2,36,9,1145
"3",3,4,4,1145
"4",4,3,3,1145
"5",5,0,23,1145
"6",6,53,154,1145
"7",7,398,392,1145
"8",8,777,807,1145
"9",9,415,558,1145
"10",10,295,359,1145
"11",11,295,473,1145
"12",12,379,524,1145
"13",13,452,566,1145
"14",14,429,578,1145
"15",15,570,565,1145
"16",16,664,661,1145
"17",17,1145,780,1145
"18",18,772,667,1145
"19",19,460,404,1145
"20",20,276,250,1145
"21",21,195,182,1145
"22",22,146,124,1145
"23",23,87,60,1145
"24",24,0,0,1145
