"","hour","starts","ends","high"
"1",1,230,176,2158
"2",2,160,131,2158
"3",3,66,57,2158
"4",4,42,34,2158
"5",5,109,39,2158
"6",6,411,73,2158
"7",7,868,242,2158
"8",8,1436,303,2158
"9",9,1146,435,2158
"10",10,829,565,2158
"11",11,930,819,2158
"12",12,976,977,2158
"13",13,1053,1193,2158
"14",14,997,1315,2158
"15",15,1131,1464,2158
"16",16,1295,1791,2158
"17",17,1633,2158,2158
"18",18,1710,1794,2158
"19",19,1494,1441,2158
"20",20,1262,962,2158
"21",21,852,748,2158
"22",22,657,519,2158
"23",23,483,359,2158
"24",24,0,0,2158
