"","hour","starts","ends","high"
"1",1,44,39,1518
"2",2,17,20,1518
"3",3,8,9,1518
"4",4,7,4,1518
"5",5,57,28,1518
"6",6,405,65,1518
"7",7,1518,315,1518
"8",8,1382,691,1518
"9",9,491,299,1518
"10",10,295,313,1518
"11",11,284,368,1518
"12",12,365,324,1518
"13",13,336,322,1518
"14",14,316,321,1518
"15",15,299,660,1518
"16",16,379,1328,1518
"17",17,694,1134,1518
"18",18,622,587,1518
"19",19,473,467,1518
"20",20,335,362,1518
"21",21,284,263,1518
"22",22,214,196,1518
"23",23,145,113,1518
"24",24,0,0,1518
