"","hour","starts","ends","high"
"1",1,40,29,1626
"2",2,33,27,1626
"3",3,15,19,1626
"4",4,10,6,1626
"5",5,32,75,1626
"6",6,132,356,1626
"7",7,359,760,1626
"8",8,911,1191,1626
"9",9,602,672,1626
"10",10,471,565,1626
"11",11,681,691,1626
"12",12,724,765,1626
"13",13,785,817,1626
"14",14,774,791,1626
"15",15,823,901,1626
"16",16,1249,1053,1626
"17",17,1626,1272,1626
"18",18,1250,1134,1626
"19",19,947,766,1626
"20",20,606,460,1626
"21",21,409,280,1626
"22",22,252,164,1626
"23",23,161,92,1626
"24",24,0,0,1626
