"","hour","starts","ends","high"
"1",1,81,80,839
"2",2,99,40,839
"3",3,13,7,839
"4",4,9,26,839
"5",5,17,30,839
"6",6,76,195,839
"7",7,278,413,839
"8",8,716,739,839
"9",9,465,419,839
"10",10,301,222,839
"11",11,309,317,839
"12",12,329,375,839
"13",13,287,356,839
"14",14,340,530,839
"15",15,416,445,839
"16",16,539,551,839
"17",17,783,839,839
"18",18,746,510,839
"19",19,399,410,839
"20",20,267,296,839
"21",21,237,209,839
"22",22,189,162,839
"23",23,214,112,839
"24",24,0,0,839
