"","hour","starts","ends","high"
"1",1,27,13,1456
"2",2,17,9,1456
"3",3,2,3,1456
"4",4,4,7,1456
"5",5,6,15,1456
"6",6,22,224,1456
"7",7,155,1054,1456
"8",8,227,1456,1456
"9",9,291,691,1456
"10",10,288,406,1456
"11",11,356,396,1456
"12",12,435,432,1456
"13",13,446,438,1456
"14",14,470,388,1456
"15",15,558,359,1456
"16",16,1169,391,1456
"17",17,1376,448,1456
"18",18,899,336,1456
"19",19,480,177,1456
"20",20,254,123,1456
"21",21,178,87,1456
"22",22,94,45,1456
"23",23,73,26,1456
"24",24,0,0,1456
