"","hour","starts","ends","high"
"1",1,31,56,1092
"2",2,21,34,1092
"3",3,13,8,1092
"4",4,7,8,1092
"5",5,23,19,1092
"6",6,95,86,1092
"7",7,292,230,1092
"8",8,727,377,1092
"9",9,749,451,1092
"10",10,577,520,1092
"11",11,602,727,1092
"12",12,690,673,1092
"13",13,681,726,1092
"14",14,769,720,1092
"15",15,787,748,1092
"16",16,753,882,1092
"17",17,811,1092,1092
"18",18,730,923,1092
"19",19,539,633,1092
"20",20,402,395,1092
"21",21,293,325,1092
"22",22,202,236,1092
"23",23,138,165,1092
"24",24,0,0,1092
