"","hour","starts","ends","high"
"1",1,34,65,1279
"2",2,15,48,1279
"3",3,9,14,1279
"4",4,11,4,1279
"5",5,38,32,1279
"6",6,82,42,1279
"7",7,354,151,1279
"8",8,1279,407,1279
"9",9,599,301,1279
"10",10,299,288,1279
"11",11,332,303,1279
"12",12,355,313,1279
"13",13,325,329,1279
"14",14,345,347,1279
"15",15,347,366,1279
"16",16,352,630,1279
"17",17,616,1139,1279
"18",18,651,846,1279
"19",19,411,581,1279
"20",20,296,489,1279
"21",21,184,312,1279
"22",22,178,219,1279
"23",23,115,140,1279
"24",24,0,0,1279
