"","hour","starts","ends","high"
"1",1,139,69,2244
"2",2,46,33,2244
"3",3,25,8,2244
"4",4,14,13,2244
"5",5,63,138,2244
"6",6,112,680,2244
"7",7,486,1412,2244
"8",8,1126,2244,2244
"9",9,900,1069,2244
"10",10,608,691,2244
"11",11,812,594,2244
"12",12,859,747,2244
"13",13,729,629,2244
"14",14,686,536,2244
"15",15,1397,577,2244
"16",16,1817,638,2244
"17",17,1498,933,2244
"18",18,1176,1042,2244
"19",19,794,814,2244
"20",20,632,535,2244
"21",21,438,412,2244
"22",22,356,302,2244
"23",23,323,338,2244
"24",24,0,0,2244
