"","hour","starts","ends","high"
"1",1,65,23,1347
"2",2,32,23,1347
"3",3,28,13,1347
"4",4,16,7,1347
"5",5,11,20,1347
"6",6,44,81,1347
"7",7,230,757,1347
"8",8,540,1207,1347
"9",9,375,559,1347
"10",10,386,372,1347
"11",11,316,359,1347
"12",12,500,448,1347
"13",13,450,389,1347
"14",14,337,297,1347
"15",15,363,381,1347
"16",16,530,604,1347
"17",17,1347,861,1347
"18",18,973,537,1347
"19",19,431,353,1347
"20",20,254,212,1347
"21",21,193,159,1347
"22",22,152,191,1347
"23",23,73,57,1347
"24",24,0,0,1347
