"","hour","starts","ends","high"
"1",1,79,27,2365
"2",2,58,16,2365
"3",3,15,13,2365
"4",4,2,8,2365
"5",5,47,27,2365
"6",6,193,177,2365
"7",7,466,1055,2365
"8",8,1315,2365,2365
"9",9,608,1025,2365
"10",10,489,565,2365
"11",11,570,685,2365
"12",12,783,810,2365
"13",13,770,786,2365
"14",14,891,693,2365
"15",15,978,782,2365
"16",16,1313,908,2365
"17",17,2102,1300,2365
"18",18,1172,849,2365
"19",19,601,507,2365
"20",20,387,284,2365
"21",21,262,216,2365
"22",22,224,235,2365
"23",23,157,107,2365
"24",24,0,0,2365
