"","hour","starts","ends","high"
"1",1,76,51,1501
"2",2,20,23,1501
"3",3,5,5,1501
"4",4,2,6,1501
"5",5,12,103,1501
"6",6,52,410,1501
"7",7,348,1156,1501
"8",8,651,1501,1501
"9",9,460,827,1501
"10",10,407,537,1501
"11",11,375,408,1501
"12",12,428,500,1501
"13",13,471,471,1501
"14",14,462,417,1501
"15",15,471,491,1501
"16",16,601,654,1501
"17",17,1188,1148,1501
"18",18,1201,913,1501
"19",19,838,705,1501
"20",20,614,426,1501
"21",21,476,299,1501
"22",22,365,144,1501
"23",23,281,94,1501
"24",24,0,0,1501
