"","hour","starts","ends","high"
"1",1,73,41,3596
"2",2,36,39,3596
"3",3,17,12,3596
"4",4,5,7,3596
"5",5,11,29,3596
"6",6,125,272,3596
"7",7,400,1431,3596
"8",8,1266,3596,3596
"9",9,1149,1887,3596
"10",10,973,1165,3596
"11",11,1191,1301,3596
"12",12,1437,1469,3596
"13",13,1339,1254,3596
"14",14,1549,1292,3596
"15",15,1611,1262,3596
"16",16,2381,1332,3596
"17",17,2721,1483,3596
"18",18,1909,1020,3596
"19",19,1255,678,3596
"20",20,706,477,3596
"21",21,513,313,3596
"22",22,337,250,3596
"23",23,266,170,3596
"24",24,0,0,3596
