"","hour","starts","ends","high"
"1",1,18,11,1872
"2",2,20,10,1872
"3",3,4,1,1872
"4",4,2,1,1872
"5",5,8,505,1872
"6",6,104,736,1872
"7",7,264,1342,1872
"8",8,407,1707,1872
"9",9,305,706,1872
"10",10,234,265,1872
"11",11,341,321,1872
"12",12,393,368,1872
"13",13,374,369,1872
"14",14,363,259,1872
"15",15,454,267,1872
"16",16,978,328,1872
"17",17,1872,344,1872
"18",18,866,191,1872
"19",19,296,119,1872
"20",20,150,72,1872
"21",21,84,56,1872
"22",22,46,45,1872
"23",23,33,23,1872
"24",24,0,0,1872
