"","hour","starts","ends","high"
"1",1,25,63,1540
"2",2,9,35,1540
"3",3,8,13,1540
"4",4,10,7,1540
"5",5,51,12,1540
"6",6,203,48,1540
"7",7,799,150,1540
"8",8,1540,327,1540
"9",9,830,188,1540
"10",10,621,209,1540
"11",11,509,267,1540
"12",12,510,313,1540
"13",13,376,341,1540
"14",14,359,374,1540
"15",15,306,377,1540
"16",16,370,617,1540
"17",17,630,869,1540
"18",18,526,700,1540
"19",19,379,573,1540
"20",20,224,466,1540
"21",21,139,420,1540
"22",22,106,340,1540
"23",23,59,212,1540
"24",24,0,0,1540
