"","hour","starts","ends","high"
"1",1,38,44,1326
"2",2,5,32,1326
"3",3,4,9,1326
"4",4,16,4,1326
"5",5,108,15,1326
"6",6,567,142,1326
"7",7,1063,358,1326
"8",8,1220,633,1326
"9",9,540,338,1326
"10",10,320,298,1326
"11",11,335,307,1326
"12",12,359,365,1326
"13",13,305,337,1326
"14",14,273,358,1326
"15",15,363,502,1326
"16",16,436,753,1326
"17",17,763,1326,1326
"18",18,919,1109,1326
"19",19,535,748,1326
"20",20,331,474,1326
"21",21,144,323,1326
"22",22,97,206,1326
"23",23,66,132,1326
"24",24,0,0,1326
