"","hour","starts","ends","high"
"1",1,24,7,2031
"2",2,20,12,2031
"3",3,21,7,2031
"4",4,2,28,2031
"5",5,16,215,2031
"6",6,82,793,2031
"7",7,388,1528,2031
"8",8,507,1941,2031
"9",9,431,775,2031
"10",10,350,395,2031
"11",11,428,502,2031
"12",12,576,603,2031
"13",13,566,478,2031
"14",14,542,386,2031
"15",15,659,428,2031
"16",16,1239,573,2031
"17",17,2031,711,2031
"18",18,802,431,2031
"19",19,434,267,2031
"20",20,253,171,2031
"21",21,122,108,2031
"22",22,68,48,2031
"23",23,55,40,2031
"24",24,0,0,2031
