"","hour","starts","ends","high"
"1",1,5,1,1060
"2",2,1,0,1060
"3",3,1,1,1060
"4",4,1,1,1060
"5",5,2,18,1060
"6",6,11,277,1060
"7",7,33,697,1060
"8",8,132,1060,1060
"9",9,58,357,1060
"10",10,73,116,1060
"11",11,165,158,1060
"12",12,310,261,1060
"13",13,241,233,1060
"14",14,234,161,1060
"15",15,410,181,1060
"16",16,845,160,1060
"17",17,950,218,1060
"18",18,352,142,1060
"19",19,166,117,1060
"20",20,142,60,1060
"21",21,112,22,1060
"22",22,63,22,1060
"23",23,48,10,1060
"24",24,0,0,1060
