"","hour","starts","ends","high"
"1",1,35,11,1422
"2",2,11,8,1422
"3",3,6,4,1422
"4",4,1,5,1422
"5",5,7,8,1422
"6",6,19,92,1422
"7",7,45,398,1422
"8",8,329,1256,1422
"9",9,211,1422,1422
"10",10,242,683,1422
"11",11,402,508,1422
"12",12,537,546,1422
"13",13,462,524,1422
"14",14,530,539,1422
"15",15,509,418,1422
"16",16,842,429,1422
"17",17,1422,371,1422
"18",18,1002,254,1422
"19",19,505,264,1422
"20",20,299,177,1422
"21",21,266,122,1422
"22",22,181,81,1422
"23",23,91,45,1422
"24",24,0,0,1422
