"","hour","starts","ends","high"
"1",1,177,88,2350
"2",2,87,79,2350
"3",3,34,18,2350
"4",4,9,50,2350
"5",5,30,81,2350
"6",6,79,202,2350
"7",7,242,820,2350
"8",8,537,1898,2350
"9",9,623,1353,2350
"10",10,843,1360,2350
"11",11,956,1469,2350
"12",12,1351,1554,2350
"13",13,1613,1521,2350
"14",14,1793,1532,2350
"15",15,1795,1590,2350
"16",16,2003,1693,2350
"17",17,2350,1960,2350
"18",18,1872,1880,2350
"19",19,1518,1345,2350
"20",20,1195,846,2350
"21",21,989,540,2350
"22",22,673,424,2350
"23",23,460,264,2350
"24",24,0,0,2350
