"","hour","starts","ends","high"
"1",1,44,56,1469
"2",2,18,23,1469
"3",3,11,19,1469
"4",4,9,11,1469
"5",5,66,12,1469
"6",6,329,29,1469
"7",7,789,244,1469
"8",8,1469,419,1469
"9",9,872,432,1469
"10",10,553,328,1469
"11",11,524,313,1469
"12",12,509,446,1469
"13",13,453,388,1469
"14",14,366,438,1469
"15",15,426,535,1469
"16",16,449,708,1469
"17",17,810,1376,1469
"18",18,702,1218,1469
"19",19,563,894,1469
"20",20,337,572,1469
"21",21,253,380,1469
"22",22,186,292,1469
"23",23,116,176,1469
"24",24,0,0,1469
