"","hour","starts","ends","high"
"1",1,46,36,1049
"2",2,33,12,1049
"3",3,10,13,1049
"4",4,6,3,1049
"5",5,8,9,1049
"6",6,34,49,1049
"7",7,93,354,1049
"8",8,528,1049,1049
"9",9,563,926,1049
"10",10,408,643,1049
"11",11,410,651,1049
"12",12,542,645,1049
"13",13,610,612,1049
"14",14,573,502,1049
"15",15,545,450,1049
"16",16,756,460,1049
"17",17,873,564,1049
"18",18,834,442,1049
"19",19,560,291,1049
"20",20,324,276,1049
"21",21,278,242,1049
"22",22,168,100,1049
"23",23,112,92,1049
"24",24,0,0,1049
