"","hour","starts","ends","high"
"1",1,60,21,5647
"2",2,43,23,5647
"3",3,30,16,5647
"4",4,19,17,5647
"5",5,32,120,5647
"6",6,39,573,5647
"7",7,90,1985,5647
"8",8,242,4831,5647
"9",9,328,5647,5647
"10",10,526,4273,5647
"11",11,916,2605,5647
"12",12,1438,2036,5647
"13",13,1343,1623,5647
"14",14,1445,1453,5647
"15",15,1953,1107,5647
"16",16,3667,1037,5647
"17",17,3165,902,5647
"18",18,2596,779,5647
"19",19,1588,576,5647
"20",20,843,406,5647
"21",21,463,247,5647
"22",22,316,180,5647
"23",23,280,116,5647
"24",24,0,0,5647
