"","hour","starts","ends","high"
"1",1,3,1,1206
"2",2,1,0,1206
"3",3,0,0,1206
"4",4,0,0,1206
"5",5,4,4,1206
"6",6,5,86,1206
"7",7,42,574,1206
"8",8,32,1190,1206
"9",9,44,360,1206
"10",10,73,141,1206
"11",11,159,140,1206
"12",12,377,322,1206
"13",13,183,292,1206
"14",14,164,150,1206
"15",15,231,134,1206
"16",16,619,96,1206
"17",17,1206,100,1206
"18",18,378,64,1206
"19",19,141,45,1206
"20",20,86,16,1206
"21",21,51,11,1206
"22",22,24,0,1206
"23",23,13,2,1206
"24",24,0,0,1206
