"","hour","starts","ends","high"
"1",1,70,86,1348
"2",2,39,65,1348
"3",3,26,18,1348
"4",4,118,21,1348
"5",5,56,15,1348
"6",6,153,91,1348
"7",7,532,123,1348
"8",8,1348,224,1348
"9",9,696,182,1348
"10",10,404,215,1348
"11",11,459,226,1348
"12",12,384,290,1348
"13",13,434,294,1348
"14",14,411,418,1348
"15",15,407,478,1348
"16",16,407,811,1348
"17",17,562,1327,1348
"18",18,498,1099,1348
"19",19,425,693,1348
"20",20,353,506,1348
"21",21,257,366,1348
"22",22,199,264,1348
"23",23,136,179,1348
"24",24,0,0,1348
