"","hour","starts","ends","high"
"1",1,103,74,1715
"2",2,79,55,1715
"3",3,21,10,1715
"4",4,10,21,1715
"5",5,122,21,1715
"6",6,290,216,1715
"7",7,643,204,1715
"8",8,1177,700,1715
"9",9,672,443,1715
"10",10,544,392,1715
"11",11,511,580,1715
"12",12,525,668,1715
"13",13,642,631,1715
"14",14,572,646,1715
"15",15,721,754,1715
"16",16,850,1177,1715
"17",17,1401,1715,1715
"18",18,1008,1445,1715
"19",19,823,996,1715
"20",20,610,662,1715
"21",21,477,479,1715
"22",22,448,328,1715
"23",23,227,249,1715
"24",24,0,0,1715
