"","hour","starts","ends","high"
"1",1,30,43,1006
"2",2,7,34,1006
"3",3,2,6,1006
"4",4,6,9,1006
"5",5,16,25,1006
"6",6,101,89,1006
"7",7,180,688,1006
"8",8,582,756,1006
"9",9,587,579,1006
"10",10,352,326,1006
"11",11,417,435,1006
"12",12,412,476,1006
"13",13,478,435,1006
"14",14,469,457,1006
"15",15,577,497,1006
"16",16,772,674,1006
"17",17,1006,927,1006
"18",18,717,795,1006
"19",19,489,545,1006
"20",20,285,387,1006
"21",21,265,231,1006
"22",22,241,146,1006
"23",23,139,90,1006
"24",24,0,0,1006
