"","hour","starts","ends","high"
"1",1,19,32,1129
"2",2,6,22,1129
"3",3,1,6,1129
"4",4,8,14,1129
"5",5,125,8,1129
"6",6,402,57,1129
"7",7,775,112,1129
"8",8,997,161,1129
"9",9,406,154,1129
"10",10,307,208,1129
"11",11,375,259,1129
"12",12,361,325,1129
"13",13,339,387,1129
"14",14,348,364,1129
"15",15,365,463,1129
"16",16,368,672,1129
"17",17,447,1129,1129
"18",18,463,741,1129
"19",19,361,497,1129
"20",20,232,293,1129
"21",21,164,229,1129
"22",22,87,167,1129
"23",23,75,101,1129
"24",24,0,0,1129
