"","hour","starts","ends","high"
"1",1,20,16,1374
"2",2,8,5,1374
"3",3,3,2,1374
"4",4,0,3,1374
"5",5,126,21,1374
"6",6,486,177,1374
"7",7,1027,280,1374
"8",8,972,552,1374
"9",9,465,265,1374
"10",10,291,281,1374
"11",11,348,346,1374
"12",12,402,463,1374
"13",13,427,424,1374
"14",14,364,445,1374
"15",15,439,568,1374
"16",16,534,869,1374
"17",17,798,1374,1374
"18",18,569,884,1374
"19",19,344,463,1374
"20",20,226,269,1374
"21",21,166,165,1374
"22",22,150,154,1374
"23",23,53,80,1374
"24",24,0,0,1374
