"","hour","starts","ends","high"
"1",1,33,35,678
"2",2,19,35,678
"3",3,9,10,678
"4",4,10,3,678
"5",5,60,3,678
"6",6,240,27,678
"7",7,538,83,678
"8",8,584,181,678
"9",9,220,160,678
"10",10,200,156,678
"11",11,225,192,678
"12",12,254,240,678
"13",13,211,255,678
"14",14,260,299,678
"15",15,251,342,678
"16",16,278,422,678
"17",17,400,678,678
"18",18,396,536,678
"19",19,245,420,678
"20",20,176,291,678
"21",21,167,217,678
"22",22,125,151,678
"23",23,115,95,678
"24",24,0,0,678
