"","hour","starts","ends","high"
"1",1,34,28,1841
"2",2,27,16,1841
"3",3,6,1,1841
"4",4,8,6,1841
"5",5,6,102,1841
"6",6,310,342,1841
"7",7,809,702,1841
"8",8,1015,911,1841
"9",9,605,514,1841
"10",10,218,291,1841
"11",11,310,373,1841
"12",12,296,387,1841
"13",13,333,389,1841
"14",14,339,407,1841
"15",15,393,533,1841
"16",16,843,1140,1841
"17",17,1619,1841,1841
"18",18,1154,769,1841
"19",19,540,333,1841
"20",20,320,197,1841
"21",21,251,113,1841
"22",22,172,69,1841
"23",23,100,40,1841
"24",24,0,0,1841
