"","hour","starts","ends","high"
"1",1,18,12,1439
"2",2,18,18,1439
"3",3,2,4,1439
"4",4,0,5,1439
"5",5,19,32,1439
"6",6,46,201,1439
"7",7,142,533,1439
"8",8,280,1243,1439
"9",9,287,575,1439
"10",10,142,206,1439
"11",11,216,262,1439
"12",12,289,414,1439
"13",13,344,275,1439
"14",14,286,266,1439
"15",15,472,224,1439
"16",16,737,317,1439
"17",17,1439,417,1439
"18",18,573,285,1439
"19",19,356,253,1439
"20",20,242,140,1439
"21",21,154,73,1439
"22",22,126,75,1439
"23",23,58,44,1439
"24",24,0,0,1439
