"","hour","starts","ends","high"
"1",1,20,23,1157
"2",2,12,11,1157
"3",3,2,1,1157
"4",4,4,2,1157
"5",5,236,47,1157
"6",6,287,121,1157
"7",7,813,309,1157
"8",8,1052,855,1157
"9",9,454,470,1157
"10",10,308,408,1157
"11",11,333,342,1157
"12",12,360,451,1157
"13",13,362,377,1157
"14",14,341,440,1157
"15",15,457,476,1157
"16",16,755,742,1157
"17",17,862,1157,1157
"18",18,491,692,1157
"19",19,283,411,1157
"20",20,169,259,1157
"21",21,99,125,1157
"22",22,179,108,1157
"23",23,48,89,1157
"24",24,0,0,1157
