"","hour","starts","ends","high"
"1",1,40,42,1048
"2",2,35,50,1048
"3",3,11,18,1048
"4",4,24,12,1048
"5",5,62,18,1048
"6",6,22,181,1048
"7",7,104,381,1048
"8",8,344,717,1048
"9",9,294,558,1048
"10",10,343,450,1048
"11",11,481,475,1048
"12",12,642,575,1048
"13",13,666,633,1048
"14",14,701,542,1048
"15",15,735,595,1048
"16",16,835,684,1048
"17",17,978,1048,1048
"18",18,818,676,1048
"19",19,567,525,1048
"20",20,452,351,1048
"21",21,348,260,1048
"22",22,255,179,1048
"23",23,171,106,1048
"24",24,0,0,1048
