"","hour","starts","ends","high"
"1",1,112,52,1359
"2",2,79,34,1359
"3",3,25,14,1359
"4",4,8,8,1359
"5",5,14,39,1359
"6",6,66,127,1359
"7",7,233,464,1359
"8",8,588,868,1359
"9",9,383,648,1359
"10",10,420,592,1359
"11",11,500,698,1359
"12",12,654,753,1359
"13",13,739,605,1359
"14",14,688,629,1359
"15",15,711,671,1359
"16",16,917,804,1359
"17",17,1359,1043,1359
"18",18,955,811,1359
"19",19,637,540,1359
"20",20,408,344,1359
"21",21,321,224,1359
"22",22,240,186,1359
"23",23,209,116,1359
"24",24,0,0,1359
