"","hour","starts","ends","high"
"1",1,56,49,852
"2",2,22,27,852
"3",3,6,8,852
"4",4,16,7,852
"5",5,51,58,852
"6",6,82,253,852
"7",7,272,531,852
"8",8,507,735,852
"9",9,411,367,852
"10",10,260,248,852
"11",11,308,232,852
"12",12,277,274,852
"13",13,292,257,852
"14",14,274,224,852
"15",15,402,259,852
"16",16,852,320,852
"17",17,742,526,852
"18",18,487,528,852
"19",19,459,383,852
"20",20,353,347,852
"21",21,178,278,852
"22",22,134,193,852
"23",23,114,108,852
"24",24,0,0,852
