"","hour","starts","ends","high"
"1",1,24,64,1713
"2",2,16,35,1713
"3",3,14,17,1713
"4",4,28,7,1713
"5",5,44,3,1713
"6",6,144,32,1713
"7",7,616,101,1713
"8",8,1713,231,1713
"9",9,865,188,1713
"10",10,536,243,1713
"11",11,619,347,1713
"12",12,583,472,1713
"13",13,509,497,1713
"14",14,453,502,1713
"15",15,462,583,1713
"16",16,485,789,1713
"17",17,635,1247,1713
"18",18,603,1036,1713
"19",19,422,766,1713
"20",20,349,547,1713
"21",21,241,429,1713
"22",22,199,286,1713
"23",23,83,157,1713
"24",24,0,0,1713
