"","hour","starts","ends","high"
"1",1,84,84,1425
"2",2,69,68,1425
"3",3,47,48,1425
"4",4,20,15,1425
"5",5,106,35,1425
"6",6,254,302,1425
"7",7,482,288,1425
"8",8,1005,612,1425
"9",9,611,352,1425
"10",10,417,416,1425
"11",11,499,488,1425
"12",12,591,738,1425
"13",13,608,676,1425
"14",14,641,707,1425
"15",15,739,914,1425
"16",16,849,939,1425
"17",17,1051,1425,1425
"18",18,909,1124,1425
"19",19,809,808,1425
"20",20,701,565,1425
"21",21,513,355,1425
"22",22,474,314,1425
"23",23,314,231,1425
"24",24,0,0,1425
