"","hour","starts","ends","high"
"1",1,75,80,2268
"2",2,48,40,2268
"3",3,11,14,2268
"4",4,8,4,2268
"5",5,111,29,2268
"6",6,523,144,2268
"7",7,1341,398,2268
"8",8,1305,565,2268
"9",9,598,446,2268
"10",10,491,517,2268
"11",11,599,822,2268
"12",12,801,1075,2268
"13",13,913,1101,2268
"14",14,942,1081,2268
"15",15,967,1208,2268
"16",16,1025,1592,2268
"17",17,1471,2268,2268
"18",18,1265,1370,2268
"19",19,834,877,2268
"20",20,699,586,2268
"21",21,417,374,2268
"22",22,356,294,2268
"23",23,207,172,2268
"24",24,0,0,2268
