"","hour","starts","ends","high"
"1",1,153,87,2967
"2",2,92,52,2967
"3",3,21,27,2967
"4",4,13,19,2967
"5",5,27,133,2967
"6",6,215,315,2967
"7",7,772,749,2967
"8",8,1542,1490,2967
"9",9,1092,1075,2967
"10",10,899,878,2967
"11",11,984,1153,2967
"12",12,1184,1350,2967
"13",13,1296,1243,2967
"14",14,1157,1234,2967
"15",15,1260,1461,2967
"16",16,1603,2254,2967
"17",17,2967,2927,2967
"18",18,2613,2373,2967
"19",19,1999,1882,2967
"20",20,1567,1319,2967
"21",21,1147,940,2967
"22",22,870,586,2967
"23",23,431,275,2967
"24",24,0,0,2967
