"","hour","starts","ends","high"
"1",1,106,70,1561
"2",2,56,50,1561
"3",3,20,26,1561
"4",4,48,19,1561
"5",5,96,52,1561
"6",6,214,189,1561
"7",7,641,561,1561
"8",8,991,952,1561
"9",9,649,573,1561
"10",10,516,586,1561
"11",11,619,602,1561
"12",12,629,744,1561
"13",13,708,780,1561
"14",14,683,735,1561
"15",15,767,985,1561
"16",16,886,1561,1561
"17",17,1129,1374,1561
"18",18,906,955,1561
"19",19,694,629,1561
"20",20,646,528,1561
"21",21,640,400,1561
"22",22,555,341,1561
"23",23,302,233,1561
"24",24,0,0,1561
