"","hour","starts","ends","high"
"1",1,155,172,1606
"2",2,94,95,1606
"3",3,42,45,1606
"4",4,35,21,1606
"5",5,61,23,1606
"6",6,214,313,1606
"7",7,737,520,1606
"8",8,1606,918,1606
"9",9,1529,831,1606
"10",10,1117,579,1606
"11",11,1069,777,1606
"12",12,1017,862,1606
"13",13,884,808,1606
"14",14,883,879,1606
"15",15,945,826,1606
"16",16,1059,1212,1606
"17",17,1357,1428,1606
"18",18,1179,1497,1606
"19",19,1072,1202,1606
"20",20,836,1030,1606
"21",21,648,832,1606
"22",22,586,702,1606
"23",23,402,521,1606
"24",24,0,0,1606
