"","hour","starts","ends","high"
"1",1,33,35,908
"2",2,28,9,908
"3",3,11,15,908
"4",4,14,12,908
"5",5,16,13,908
"6",6,110,52,908
"7",7,433,279,908
"8",8,722,366,908
"9",9,341,513,908
"10",10,233,406,908
"11",11,312,431,908
"12",12,375,389,908
"13",13,357,514,908
"14",14,375,450,908
"15",15,448,488,908
"16",16,494,706,908
"17",17,693,908,908
"18",18,620,519,908
"19",19,479,432,908
"20",20,423,336,908
"21",21,332,216,908
"22",22,197,157,908
"23",23,146,138,908
"24",24,0,0,908
