"","hour","starts","ends","high"
"1",1,35,56,1044
"2",2,33,14,1044
"3",3,11,20,1044
"4",4,7,3,1044
"5",5,18,9,1044
"6",6,313,71,1044
"7",7,520,380,1044
"8",8,699,413,1044
"9",9,428,462,1044
"10",10,302,301,1044
"11",11,267,323,1044
"12",12,288,271,1044
"13",13,274,347,1044
"14",14,316,319,1044
"15",15,377,670,1044
"16",16,584,1044,1044
"17",17,750,892,1044
"18",18,535,464,1044
"19",19,404,367,1044
"20",20,318,281,1044
"21",21,201,198,1044
"22",22,139,117,1044
"23",23,78,85,1044
"24",24,0,0,1044
