"","hour","starts","ends","high"
"1",1,40,54,1704
"2",2,21,32,1704
"3",3,18,11,1704
"4",4,64,60,1704
"5",5,40,80,1704
"6",6,204,322,1704
"7",7,545,804,1704
"8",8,992,1704,1704
"9",9,671,733,1704
"10",10,584,465,1704
"11",11,653,556,1704
"12",12,605,683,1704
"13",13,578,639,1704
"14",14,538,555,1704
"15",15,619,617,1704
"16",16,1073,738,1704
"17",17,1625,1104,1704
"18",18,1043,1047,1704
"19",19,678,642,1704
"20",20,468,402,1704
"21",21,325,306,1704
"22",22,218,224,1704
"23",23,144,119,1704
"24",24,0,0,1704
