"","hour","starts","ends","high"
"1",1,119,67,1406
"2",2,65,30,1406
"3",3,13,9,1406
"4",4,10,6,1406
"5",5,17,37,1406
"6",6,77,148,1406
"7",7,393,728,1406
"8",8,1113,972,1406
"9",9,911,756,1406
"10",10,678,597,1406
"11",11,652,621,1406
"12",12,796,709,1406
"13",13,654,701,1406
"14",14,712,669,1406
"15",15,869,711,1406
"16",16,1007,931,1406
"17",17,1406,1260,1406
"18",18,1084,1108,1406
"19",19,986,905,1406
"20",20,750,762,1406
"21",21,608,520,1406
"22",22,470,471,1406
"23",23,402,292,1406
"24",24,0,0,1406
