"","hour","starts","ends","high"
"1",1,195,228,4172
"2",2,144,127,4172
"3",3,73,49,4172
"4",4,43,32,4172
"5",5,29,247,4172
"6",6,108,500,4172
"7",7,394,1385,4172
"8",8,1323,3703,4172
"9",9,1274,2522,4172
"10",10,1349,2115,4172
"11",11,2018,2193,4172
"12",12,2991,2699,4172
"13",13,3100,3029,4172
"14",14,3145,2797,4172
"15",15,3296,2716,4172
"16",16,4094,2955,4172
"17",17,4172,2864,4172
"18",18,3133,2449,4172
"19",19,2309,1808,4172
"20",20,1776,1495,4172
"21",21,1189,1012,4172
"22",22,823,706,4172
"23",23,738,441,4172
"24",24,0,0,4172
