"","hour","starts","ends","high"
"1",1,81,55,2338
"2",2,80,21,2338
"3",3,15,14,2338
"4",4,15,21,2338
"5",5,46,45,2338
"6",6,176,339,2338
"7",7,559,979,2338
"8",8,1055,2120,2338
"9",9,775,973,2338
"10",10,683,777,2338
"11",11,860,981,2338
"12",12,993,1181,2338
"13",13,1099,1228,2338
"14",14,1104,1240,2338
"15",15,1216,1514,2338
"16",16,1709,1730,2338
"17",17,2338,1881,2338
"18",18,1996,1322,2338
"19",19,1299,935,2338
"20",20,816,522,2338
"21",21,520,260,2338
"22",22,322,180,2338
"23",23,212,169,2338
"24",24,0,0,2338
