"","hour","starts","ends","high"
"1",1,43,10,1323
"2",2,14,2,1323
"3",3,5,1,1323
"4",4,5,5,1323
"5",5,17,115,1323
"6",6,46,126,1323
"7",7,119,647,1323
"8",8,299,1323,1323
"9",9,123,474,1323
"10",10,190,249,1323
"11",11,242,334,1323
"12",12,388,310,1323
"13",13,357,308,1323
"14",14,308,272,1323
"15",15,348,206,1323
"16",16,1004,285,1323
"17",17,1166,435,1323
"18",18,480,226,1323
"19",19,325,185,1323
"20",20,199,136,1323
"21",21,99,56,1323
"22",22,87,65,1323
"23",23,67,89,1323
"24",24,0,0,1323
