"","hour","starts","ends","high"
"1",1,16,59,892
"2",2,20,36,892
"3",3,8,6,892
"4",4,43,13,892
"5",5,27,42,892
"6",6,83,165,892
"7",7,304,282,892
"8",8,892,246,892
"9",9,382,195,892
"10",10,309,209,892
"11",11,389,271,892
"12",12,334,344,892
"13",13,316,374,892
"14",14,312,299,892
"15",15,354,383,892
"16",16,404,489,892
"17",17,561,750,892
"18",18,422,679,892
"19",19,396,423,892
"20",20,261,305,892
"21",21,187,268,892
"22",22,118,171,892
"23",23,74,144,892
"24",24,0,0,892
