"","hour","starts","ends","high"
"1",1,50,19,1353
"2",2,30,18,1353
"3",3,7,2,1353
"4",4,2,5,1353
"5",5,5,41,1353
"6",6,18,97,1353
"7",7,147,472,1353
"8",8,367,1353,1353
"9",9,427,934,1353
"10",10,428,686,1353
"11",11,607,867,1353
"12",12,719,925,1353
"13",13,837,783,1353
"14",14,931,776,1353
"15",15,987,659,1353
"16",16,1163,712,1353
"17",17,1261,830,1353
"18",18,936,696,1353
"19",19,587,548,1353
"20",20,483,294,1353
"21",21,340,203,1353
"22",22,277,119,1353
"23",23,167,99,1353
"24",24,0,0,1353
