"","hour","starts","ends","high"
"1",1,21,54,1070
"2",2,11,30,1070
"3",3,8,9,1070
"4",4,13,8,1070
"5",5,69,68,1070
"6",6,184,28,1070
"7",7,589,47,1070
"8",8,1070,101,1070
"9",9,628,126,1070
"10",10,559,172,1070
"11",11,424,188,1070
"12",12,411,228,1070
"13",13,327,261,1070
"14",14,308,346,1070
"15",15,281,351,1070
"16",16,290,475,1070
"17",17,449,855,1070
"18",18,430,853,1070
"19",19,296,668,1070
"20",20,280,561,1070
"21",21,168,405,1070
"22",22,90,271,1070
"23",23,60,156,1070
"24",24,0,0,1070
