"","hour","starts","ends","high"
"1",1,48,23,1615
"2",2,27,8,1615
"3",3,5,6,1615
"4",4,6,4,1615
"5",5,3,15,1615
"6",6,116,342,1615
"7",7,375,1032,1615
"8",8,946,1615,1615
"9",9,569,423,1615
"10",10,222,291,1615
"11",11,265,312,1615
"12",12,449,424,1615
"13",13,379,353,1615
"14",14,314,284,1615
"15",15,427,272,1615
"16",16,852,435,1615
"17",17,1164,677,1615
"18",18,665,430,1615
"19",19,359,247,1615
"20",20,205,169,1615
"21",21,166,97,1615
"22",22,96,63,1615
"23",23,71,60,1615
"24",24,0,0,1615
