"","hour","starts","ends","high"
"1",1,53,49,1370
"2",2,32,21,1370
"3",3,27,6,1370
"4",4,12,2,1370
"5",5,37,6,1370
"6",6,49,250,1370
"7",7,205,961,1370
"8",8,483,1304,1370
"9",9,375,623,1370
"10",10,381,219,1370
"11",11,363,178,1370
"12",12,330,266,1370
"13",13,237,244,1370
"14",14,260,229,1370
"15",15,380,181,1370
"16",16,1370,221,1370
"17",17,785,325,1370
"18",18,392,258,1370
"19",19,270,225,1370
"20",20,183,177,1370
"21",21,126,131,1370
"22",22,99,122,1370
"23",23,92,107,1370
"24",24,0,0,1370
