"","hour","starts","ends","high"
"1",1,8,14,1037
"2",2,3,1,1037
"3",3,3,0,1037
"4",4,0,60,1037
"5",5,12,18,1037
"6",6,38,201,1037
"7",7,148,719,1037
"8",8,126,869,1037
"9",9,193,258,1037
"10",10,174,148,1037
"11",11,255,201,1037
"12",12,325,269,1037
"13",13,241,246,1037
"14",14,195,227,1037
"15",15,274,206,1037
"16",16,745,246,1037
"17",17,1037,251,1037
"18",18,315,197,1037
"19",19,245,106,1037
"20",20,129,64,1037
"21",21,96,52,1037
"22",22,77,46,1037
"23",23,38,36,1037
"24",24,0,0,1037
