"","hour","starts","ends","high"
"1",1,146,59,1008
"2",2,96,39,1008
"3",3,19,17,1008
"4",4,10,13,1008
"5",5,16,21,1008
"6",6,66,126,1008
"7",7,256,235,1008
"8",8,643,612,1008
"9",9,527,385,1008
"10",10,483,433,1008
"11",11,489,501,1008
"12",12,599,711,1008
"13",13,684,627,1008
"14",14,661,659,1008
"15",15,661,617,1008
"16",16,622,699,1008
"17",17,1008,936,1008
"18",18,851,843,1008
"19",19,637,723,1008
"20",20,593,552,1008
"21",21,542,426,1008
"22",22,361,308,1008
"23",23,279,220,1008
"24",24,0,0,1008
