"","hour","starts","ends","high"
"1",1,51,51,1225
"2",2,36,40,1225
"3",3,9,17,1225
"4",4,12,18,1225
"5",5,27,35,1225
"6",6,49,229,1225
"7",7,285,353,1225
"8",8,779,554,1225
"9",9,633,379,1225
"10",10,468,338,1225
"11",11,426,369,1225
"12",12,461,441,1225
"13",13,493,414,1225
"14",14,488,428,1225
"15",15,501,495,1225
"16",16,670,693,1225
"17",17,834,1225,1225
"18",18,578,914,1225
"19",19,519,588,1225
"20",20,416,429,1225
"21",21,348,282,1225
"22",22,235,158,1225
"23",23,131,114,1225
"24",24,0,0,1225
