"","hour","starts","ends","high"
"1",1,28,63,767
"2",2,14,25,767
"3",3,9,31,767
"4",4,13,26,767
"5",5,57,42,767
"6",6,155,31,767
"7",7,458,134,767
"8",8,767,196,767
"9",9,424,130,767
"10",10,314,168,767
"11",11,241,226,767
"12",12,227,281,767
"13",13,275,216,767
"14",14,268,238,767
"15",15,233,315,767
"16",16,248,600,767
"17",17,443,624,767
"18",18,333,491,767
"19",19,280,344,767
"20",20,178,304,767
"21",21,126,228,767
"22",22,106,161,767
"23",23,53,88,767
"24",24,0,0,767
