"","hour","starts","ends","high"
"1",1,126,64,1979
"2",2,44,32,1979
"3",3,34,13,1979
"4",4,13,65,1979
"5",5,72,235,1979
"6",6,435,477,1979
"7",7,972,853,1979
"8",8,1472,1154,1979
"9",9,902,775,1979
"10",10,678,718,1979
"11",11,751,866,1979
"12",12,906,1007,1979
"13",13,937,1057,1979
"14",14,956,1062,1979
"15",15,1022,1253,1979
"16",16,1469,1450,1979
"17",17,1974,1979,1979
"18",18,1622,1388,1979
"19",19,1163,974,1979
"20",20,739,612,1979
"21",21,423,448,1979
"22",22,294,350,1979
"23",23,222,193,1979
"24",24,0,0,1979
