"","hour","starts","ends","high"
"1",1,23,4,1525
"2",2,15,4,1525
"3",3,0,2,1525
"4",4,0,2,1525
"5",5,7,30,1525
"6",6,16,195,1525
"7",7,68,520,1525
"8",8,168,1525,1525
"9",9,165,707,1525
"10",10,282,566,1525
"11",11,320,690,1525
"12",12,346,589,1525
"13",13,515,524,1525
"14",14,617,511,1525
"15",15,760,446,1525
"16",16,790,437,1525
"17",17,1191,503,1525
"18",18,728,384,1525
"19",19,455,210,1525
"20",20,276,138,1525
"21",21,256,70,1525
"22",22,171,43,1525
"23",23,97,15,1525
"24",24,0,0,1525
