"","hour","starts","ends","high"
"1",1,22,15,1518
"2",2,12,39,1518
"3",3,8,3,1518
"4",4,5,5,1518
"5",5,6,64,1518
"6",6,20,437,1518
"7",7,94,949,1518
"8",8,246,1518,1518
"9",9,135,727,1518
"10",10,228,443,1518
"11",11,320,412,1518
"12",12,416,413,1518
"13",13,441,401,1518
"14",14,454,344,1518
"15",15,689,254,1518
"16",16,1267,228,1518
"17",17,1219,228,1518
"18",18,605,161,1518
"19",19,441,128,1518
"20",20,271,142,1518
"21",21,150,117,1518
"22",22,123,59,1518
"23",23,66,34,1518
"24",24,0,0,1518
